ACCELERATOR,BRAKE,GEAR,STEERING,ANGLE,CURRENT_LAP_TIME,DAMAGE,DISTANCE_FROM_START,DISTANCE_RACED,LAST_LAP_TIME,OPPONENT_1,OPPONENT_2,OPPONENT_3,OPPONENT_4,OPPONENT_5,OPPONENT_6,OPPONENT_7,OPPONENT_8,OPPONENT_9,OPPONENT_10,OPPONENT_11,OPPONENT_12,OPPONENT_13,OPPONENT_14,OPPONENT_15,OPPONENT_16,OPPONENT_18,OPPONENT_19,OPPONENT_20,OPPONENT_21,OPPONENT_22,OPPONENT_23,OPPONENT_24,OPPONENT_25,OPPONENT_26,OPPONENT_27,OPPONENT_28,OPPONENT_29,OPPONENT_30,OPPONENT_31,OPPONENT_32,OPPONENT_33,OPPONENT_34,OPPONENT_35,OPPONENT_36,RACE_POSITION,RPM,SPEED_X,SPEED_Y,SPEED_Z,DISTANCE_FROM_CENTER,CENTR_OF_MASS_DISTANCE,WHEEL_V_1,WHEEL_V_2,WHEEL_V_3,WHEEL_V_4,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
10000.0,0.0,-1,0.0,0.1023336999571358,-0.982,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.962,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.942,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.922,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.902,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.882,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.862,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.842,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.822,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1100.33,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
10000.0,0.0,-1,0.0,0.1023336999571358,-0.802,0,4223.54,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 11.0362, 200.0, 19.9996, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1263.95,-0.0043235277777777786,0.00756075,0.0004874277777777778,-0.333384,0.343887,0.0,0.0,-113.20672003533345,114.63281198741406,9.3337,9.66759,10.7888,13.2235,18.7253,27.4245,36.3047,54.3007,109.324,200.0,52.4689,26.6028,17.9099,13.5768,9.30386,6.58741,5.38265,4.82862,4.66632
